Body,Body Name,Transaction No,Invoice Ref.,Vendor Name,Expense,Expense Type,Payment Date,Amount,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010157,A2/2009/1429,11KBW (James Cornwell Fees only),R4400-COR101,Services - Professional Fees,01/02/2013,"£1,650.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010946,538,1MB Cabling Solutions Limited,R4548-HLD101,IT - Cabling and Network,15/02/2013,"£3,920.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010901,153950,A & E Fire Equipment Limited,C1107-CAH015,Building Works,15/02/2013,£987.56,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011292,SOI0023842,AllCoopers Limited,R2705-CUL103,Security Systems,25/02/2013,£465.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011293,SOI0023845,AllCoopers Limited,R2705-CUL102,Security Systems,25/02/2013,£780.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011294,SOI0023846,AllCoopers Limited,R2705-ADB101,Security Systems,15/02/2013,"£1,474.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010873,56329,Alpha Colour Printers Limited,R4300-HBA001,Printing - Services,25/02/2013,"£1,082.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011104,933,AMPM247.com Limited,C1100-CAP106,Construction,15/02/2013,"£28,590.35",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011384,940,AMPM247.com Limited,C1106-CAP106,Engineering Works,25/02/2013,"£12,596.17",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010650,809,Anderson Civil Engineering UK Limited,R5001-EMP001,TPP - Major External Contractors,01/02/2013,"£2,426.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010650,809,Anderson Civil Engineering UK Limited,R5001-EMP001,TPP - Major External Contractors,01/02/2013,"£1,000.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010876,11105,Artful Limited,R4317-DEV001,Non Staff Advertising,15/02/2013,"£1,386.32",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011318,INV-130582,Artifax Software Limited,R4531-CUL102,IT - Purchase of Software,25/02/2013,"£2,035.32",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010867,INV-430582,Artifax Software Limited,R4531-CUL102,IT - Purchase of Software,08/02/2013,"£2,035.32",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14008807,78727,Berman Guedes Stretton Architects Limited,C1100-CAP121,Construction,08/02/2013,"£13,557.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011123,1623,Bettersound Systems,R4003-ADB101,Tools & Equipment - R & M,15/02/2013,£555.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010953,47SI 642983,Brenntag UK Limited,R4007-REC101,Materials - Chemicals,15/02/2013,£740.92,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011219,9235,Business Furniture Direct Limited,R4000-REC007,Equipment Purchase,15/02/2013,£729.60,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011137,4646,Cambridge University Technical Services Limited (CUTS),R4400-PLP101,Services - Professional Fees,15/02/2013,£625.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010476,S 71565422,CELB Limited T/A Shred-It M4 Corridor,R4530-SUP005,IT - Purchase of Hardware,25/02/2013,£756.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010616,INV425759,Chartered Institute of Environmental Health - London,R1650-REG001,Training Expenses,01/02/2013,£700.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011243,INV01514,Cheltenham Festivals,R6280-CUL111,Grants,19/02/2013,"£19,000.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010899,CBC/080113,Cheltenham Tree Services Limited,R2070-PLP006,Tree Work,25/02/2013,"£1,590.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010905,121-003512,Chiefield Limited T/A Brown Advertising And Design,R4300-CPK001,Printing - Services,25/02/2013,£995.40,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010675,M/RBO13630,Civica UK Limited,R4534-LTC101,IT - Maint Agreements,01/02/2013,£701.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011138,5539,"Clarke, Nicholls & Marcel Limited (CNM)",R2004-CUL103,R & M of Build Programmed,25/02/2013,£650.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010884,522629,Comensura Limited,R1100-CPK012,Agency Staff,15/02/2013,£396.93,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010884,522629,Comensura Limited,R1100-HLD102,Agency Staff,15/02/2013,£528.66,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010884,522629,Comensura Limited,R1100-HLD102,Agency Staff,15/02/2013,"£2,458.70",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010884,522629,Comensura Limited,R1100-HLD102,Agency Staff,15/02/2013,"£3,578.95",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010884,522629,Comensura Limited,R1100-CPK012,Agency Staff,15/02/2013,"£2,237.42",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010884,522629,Comensura Limited,R1100-ADB101,Agency Staff,15/02/2013,£74.44,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010883,522860,Comensura Limited,R1100-HLD102,Agency Staff,08/02/2013,"£1,059.41",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010258,SIT103786,Commercial IT services Limited (IT Purchases),R4531-SUP005,IT - Purchase of Software,01/02/2013,"£2,377.20",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011008,12451,Complete Climate Solutions,R2080-OPS002,Mechanical Services,15/02/2013,£43.88,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011008,12451,Complete Climate Solutions,R2080-OPS002,Mechanical Services,15/02/2013,£462.88,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011009,12452,Complete Climate Solutions,R2080-REC101,Mechanical Services,15/02/2013,£24.38,
